,0
0,0.6863945578231292
1,0.8251700680272107
2,0.8180272108843537
3,0.8605442176870748
4,0.8465986394557824
5,0.8744897959183673
6,0.8948979591836734
7,0.8744897959183673
8,0.8744897959183673
9,0.8744897959183673
10,0.8744897959183673
11,0.8744897959183673
12,0.8744897959183673
13,0.8744897959183673
14,0.8744897959183673
15,0.8744897959183673
16,0.8744897959183673
17,0.8744897959183673
18,0.8744897959183673
19,0.8744897959183673
20,0.8744897959183673
21,0.8744897959183673
22,0.8744897959183673
23,0.8744897959183673
24,0.8744897959183673
25,0.8744897959183673
26,0.8744897959183673
27,0.8744897959183673
28,0.8744897959183673
